user1,p1,2024-09-16 01:05:13
user1,p2,2024-09-16 01:05:14
user1,p3,2024-09-16 01:05:16
user1,p4,2024-09-16 01:05:17
user1,p5,2024-09-16 01:16:28
user1,p6,2024-09-16 01:16:30
user1,p7,2024-09-16 01:16:31
user1,p8,2024-09-16 01:16:33
user1,p9,2024-09-16 01:16:34
user1,p10,2024-09-16 01:16:37
user1,p11,2024-09-16 01:19:00
user1,p12,2024-09-16 01:19:02
user1,p13,2024-09-16 01:19:03
user1,p14,2024-09-16 01:19:05
user1,p15,2024-09-16 01:19:07
user1,p16,2024-09-16 01:19:09
user1,p17,2024-09-16 01:19:11
user1,p18,2024-09-16 01:19:13
user1,p19,2024-09-16 01:19:14
user1,p20,2024-09-16 01:19:16
user1,p21,2024-09-16 01:19:18
user1,p22,2024-09-16 01:19:19
user1,bye,2024-09-16 01:28:19
